version,case,theta_opt,beta_opt,theta_over_pi,beta_over_pi,r,P_valid,is_selected_r
V5,01_1d_tiny_single_gap,2.131795014935931,1.444571621963164,0.6785714285714286,0.4598214285714286,1,0.17921094928678802,0
V5,01_1d_tiny_single_gap,2.131795014935931,1.444571621963164,0.6785714285714286,0.4598214285714286,2,0.2537105021466632,0
V5,01_1d_tiny_single_gap,2.131795014935931,1.444571621963164,0.6785714285714286,0.4598214285714286,3,0.10482362369949211,0
V5,01_1d_tiny_single_gap,2.131795014935931,1.444571621963164,0.6785714285714286,0.4598214285714286,4,0.3361963284226927,0
V5,01_1d_tiny_single_gap,2.131795014935931,1.444571621963164,0.6785714285714286,0.4598214285714286,5,0.17123869707242312,0
V5,01_1d_tiny_single_gap,2.131795014935931,1.444571621963164,0.6785714285714286,0.4598214285714286,6,0.0669371751057064,0
V5,01_1d_tiny_single_gap,2.131795014935931,1.444571621963164,0.6785714285714286,0.4598214285714286,7,0.32541008090313767,0
V5,01_1d_tiny_single_gap,2.131795014935931,1.444571621963164,0.6785714285714286,0.4598214285714286,8,0.030379687899706836,0
V5,01_1d_tiny_single_gap,2.131795014935931,1.444571621963164,0.6785714285714286,0.4598214285714286,9,0.47460598552867883,0
V5,01_1d_tiny_single_gap,2.131795014935931,1.444571621963164,0.6785714285714286,0.4598214285714286,10,0.07644972327036068,0
V5,01_1d_tiny_single_gap,2.131795014935931,1.444571621963164,0.6785714285714286,0.4598214285714286,11,0.06705855595715397,0
V5,01_1d_tiny_single_gap,2.131795014935931,1.444571621963164,0.6785714285714286,0.4598214285714286,12,0.3351029588734324,0
V5,01_1d_tiny_single_gap,2.131795014935931,1.444571621963164,0.6785714285714286,0.4598214285714286,13,0.051180879349897755,0
V5,01_1d_tiny_single_gap,2.131795014935931,1.444571621963164,0.6785714285714286,0.4598214285714286,14,0.47547358621595753,0
V5,01_1d_tiny_single_gap,2.131795014935931,1.444571621963164,0.6785714285714286,0.4598214285714286,15,0.024997926559372077,0
V5,01_1d_tiny_single_gap,2.131795014935931,1.444571621963164,0.6785714285714286,0.4598214285714286,16,0.14813610889059428,0
V5,01_1d_tiny_single_gap,2.131795014935931,1.444571621963164,0.6785714285714286,0.4598214285714286,17,0.23723488792473868,0
V5,01_1d_tiny_single_gap,2.131795014935931,1.444571621963164,0.6785714285714286,0.4598214285714286,18,0.15868760339297128,0
V5,01_1d_tiny_single_gap,2.131795014935931,1.444571621963164,0.6785714285714286,0.4598214285714286,19,0.3755928099839992,0
V5,01_1d_tiny_single_gap,2.131795014935931,1.444571621963164,0.6785714285714286,0.4598214285714286,20,0.07970030575135208,0
V5,01_1d_tiny_single_gap,2.131795014935931,1.444571621963164,0.6785714285714286,0.4598214285714286,21,0.2012443506466101,0
V5,01_1d_tiny_single_gap,2.131795014935931,1.444571621963164,0.6785714285714286,0.4598214285714286,22,0.10756983598122699,0
V5,01_1d_tiny_single_gap,2.131795014935931,1.444571621963164,0.6785714285714286,0.4598214285714286,23,0.23357986323806249,0
V5,01_1d_tiny_single_gap,2.131795014935931,1.444571621963164,0.6785714285714286,0.4598214285714286,24,0.33607438843869053,0
V5,01_1d_tiny_single_gap,2.131795014935931,1.444571621963164,0.6785714285714286,0.4598214285714286,25,0.17690772268081298,0
V5,01_1d_tiny_single_gap,2.131795014935931,1.444571621963164,0.6785714285714286,0.4598214285714286,26,0.16925190893032416,0
V5,01_1d_tiny_single_gap,2.131795014935931,1.444571621963164,0.6785714285714286,0.4598214285714286,27,0.030428775786281632,0
V5,01_1d_tiny_single_gap,2.131795014935931,1.444571621963164,0.6785714285714286,0.4598214285714286,28,0.18826067491313542,0
V5,01_1d_tiny_single_gap,2.131795014935931,1.444571621963164,0.6785714285714286,0.4598214285714286,29,0.47769194915554714,0
V5,01_1d_tiny_single_gap,2.131795014935931,1.444571621963164,0.6785714285714286,0.4598214285714286,30,0.19882866050786374,0
V5,01_1d_tiny_single_gap,2.131795014935931,1.444571621963164,0.6785714285714286,0.4598214285714286,31,0.09305862167151228,0
V5,01_1d_tiny_single_gap,2.131795014935931,1.444571621963164,0.6785714285714286,0.4598214285714286,32,0.009860052236674383,0
V5,01_1d_tiny_single_gap,2.131795014935931,1.444571621963164,0.6785714285714286,0.4598214285714286,33,0.0755914523612357,0
V5,01_1d_tiny_single_gap,2.131795014935931,1.444571621963164,0.6785714285714286,0.4598214285714286,34,0.7329086746644426,0
V5,01_1d_tiny_single_gap,2.131795014935931,1.444571621963164,0.6785714285714286,0.4598214285714286,35,0.11646447657397188,0
V5,01_1d_tiny_single_gap,2.131795014935931,1.444571621963164,0.6785714285714286,0.4598214285714286,36,0.03823891034878829,0
V5,01_1d_tiny_single_gap,2.131795014935931,1.444571621963164,0.6785714285714286,0.4598214285714286,37,0.002822123755701126,0
V5,01_1d_tiny_single_gap,2.131795014935931,1.444571621963164,0.6785714285714286,0.4598214285714286,38,0.029448220578978536,0
V5,01_1d_tiny_single_gap,2.131795014935931,1.444571621963164,0.6785714285714286,0.4598214285714286,39,0.8913190212648294,1
