version,case,theta_over_pi,beta_over_pi,r,P_valid,is_selected_r
V4,01_1d_tiny_single_gap,0.0892857142857142,0.0535714285714285,1,0.2468664865214681,0
V4,01_1d_tiny_single_gap,0.0892857142857142,0.0535714285714285,2,0.3334775836828085,0
V4,01_1d_tiny_single_gap,0.0892857142857142,0.0535714285714285,3,0.4448062234906905,0
V4,01_1d_tiny_single_gap,0.0892857142857142,0.0535714285714285,4,0.5587133696548336,0
V4,01_1d_tiny_single_gap,0.0892857142857142,0.0535714285714285,5,0.649702494586721,0
V4,01_1d_tiny_single_gap,0.0892857142857142,0.0535714285714285,6,0.6955906655378897,0
V4,01_1d_tiny_single_gap,0.0892857142857142,0.0535714285714285,7,0.6851790937247767,0
V4,01_1d_tiny_single_gap,0.0892857142857142,0.0535714285714285,8,0.6234292744950012,0
V4,01_1d_tiny_single_gap,0.0892857142857142,0.0535714285714285,9,0.5309894486346716,0
V4,01_1d_tiny_single_gap,0.0892857142857142,0.0535714285714285,10,0.4373167801860398,0
V4,01_1d_tiny_single_gap,0.0892857142857142,0.0535714285714285,11,0.3698798808839487,0
V4,01_1d_tiny_single_gap,0.0892857142857142,0.0535714285714285,12,0.344121538212349,0
V4,01_1d_tiny_single_gap,0.0892857142857142,0.0535714285714285,13,0.3586513635638729,0
V4,01_1d_tiny_single_gap,0.0892857142857142,0.0535714285714285,14,0.3975644136395559,0
V4,01_1d_tiny_single_gap,0.0892857142857142,0.0535714285714285,15,0.4382912169807827,0
V4,01_1d_tiny_single_gap,0.0892857142857142,0.0535714285714285,16,0.4609398431195185,0
V4,01_1d_tiny_single_gap,0.0892857142857142,0.0535714285714285,17,0.4549640564580102,0
V4,01_1d_tiny_single_gap,0.0892857142857142,0.0535714285714285,18,0.4210174700421354,0
V4,01_1d_tiny_single_gap,0.0892857142857142,0.0535714285714285,19,0.3686102640955286,0
V4,01_1d_tiny_single_gap,0.0892857142857142,0.0535714285714285,20,0.3119647245247128,0
V4,01_1d_tiny_single_gap,0.0892857142857142,0.0535714285714285,21,0.26637825436327,0
V4,01_1d_tiny_single_gap,0.0892857142857142,0.0535714285714285,22,0.2458844769240502,0
V4,01_1d_tiny_single_gap,0.0892857142857142,0.0535714285714285,23,0.2614180598447909,0
V4,01_1d_tiny_single_gap,0.0892857142857142,0.0535714285714285,24,0.3183148636415597,0
V4,01_1d_tiny_single_gap,0.0892857142857142,0.0535714285714285,25,0.4130901984468725,0
V4,01_1d_tiny_single_gap,0.0892857142857142,0.0535714285714285,26,0.5311131795509476,0
V4,01_1d_tiny_single_gap,0.0892857142857142,0.0535714285714285,27,0.6475832428444144,0
V4,01_1d_tiny_single_gap,0.0892857142857142,0.0535714285714285,28,0.7331983071799526,0
V4,01_1d_tiny_single_gap,0.0892857142857142,0.0535714285714285,29,0.7634230555583972,1
V4,01_1d_tiny_single_gap,0.0892857142857142,0.0535714285714285,30,0.7277871576091615,0
V4,01_1d_tiny_single_gap,0.0892857142857142,0.0535714285714285,31,0.6348344978355871,0
V4,01_1d_tiny_single_gap,0.0892857142857142,0.0535714285714285,32,0.5099568752944833,0
V4,01_1d_tiny_single_gap,0.0892857142857142,0.0535714285714285,33,0.3866536792988584,0
V4,01_1d_tiny_single_gap,0.0892857142857142,0.0535714285714285,34,0.2949475189327794,0
V4,01_1d_tiny_single_gap,0.0892857142857142,0.0535714285714285,35,0.2519531224636694,0
V4,01_1d_tiny_single_gap,0.0892857142857142,0.0535714285714285,36,0.2582676545380414,0
V4,01_1d_tiny_single_gap,0.0892857142857142,0.0535714285714285,37,0.3007792900100524,0
V4,01_1d_tiny_single_gap,0.0892857142857142,0.0535714285714285,38,0.3594996969979104,0
V4,01_1d_tiny_single_gap,0.0892857142857142,0.0535714285714285,39,0.4147511898814395,0
V4,01_1d_tiny_single_gap,0.0892857142857142,0.0535714285714285,40,0.4519384808511149,0
V4,01_1d_tiny_single_gap,0.0892857142857142,0.0535714285714285,41,0.463292085284018,0
V4,01_1d_tiny_single_gap,0.0892857142857142,0.0535714285714285,42,0.4477965728186883,0
V4,01_1d_tiny_single_gap,0.0892857142857142,0.0535714285714285,43,0.4108538867618815,0
V4,01_1d_tiny_single_gap,0.0892857142857142,0.0535714285714285,44,0.3641090726206617,0
V4,01_1d_tiny_single_gap,0.0892857142857142,0.0535714285714285,45,0.3244077701007948,0
V4,01_1d_tiny_single_gap,0.0892857142857142,0.0535714285714285,46,0.3104239676508797,0
V4,01_1d_tiny_single_gap,0.0892857142857142,0.0535714285714285,47,0.3366717281156327,0
V4,01_1d_tiny_single_gap,0.0892857142857142,0.0535714285714285,48,0.4067219708244756,0
V4,01_1d_tiny_single_gap,0.0892857142857142,0.0535714285714285,49,0.5089771883510147,0
V4,01_1d_tiny_single_gap,0.0892857142857142,0.0535714285714285,50,0.6180077210760464,0
