version,oracle,mean_P_valid,median_P_valid,min_P_valid,max_P_valid,mean_r_opt,median_r_opt,mean_improvement_over_uniform,mean_P_valid_per_repetition,mean_estimated_total_qubits
V4,C(i) cost phase,0.9080353952999174,0.9301198136993125,0.7634230555583972,0.9831014871305612,30.6,30.5,0.5564337258965237,0.040914485213914505,28.4
V5,ΔC(i) delta cost phase,0.8713485766594047,0.8801303530594359,0.743346917180962,0.9896395854335164,32.0,36.0,0.519746907256011,0.04049262495904205,38.8
